,train_loss,test_corr
0,-0.5422666905557408,0.5088234543800354
1,-0.7459756451494554,0.6852940320968628
2,-0.6615452731356901,0.6205881834030151
3,-0.6330612518769854,0.7176470160484314
4,-0.6846179366111755,0.7764705419540405
5,-0.6323583827299231,0.7176470160484314
6,-0.7108327378244961,0.7235293388366699
7,-0.7994364044245552,0.6941176056861877
8,-0.7416629738667432,0.7470587491989136
9,-0.8373766821973464,0.6852940320968628
10,-0.7472426575772902,0.6970587372779846
11,-0.7265918105840683,0.673529326915741
12,-0.8020677531466764,0.7058823108673096
13,-0.8181755647939795,0.7970587611198425
14,-0.8590420361827401,0.8058822751045227
15,-0.8428835623404559,0.7941175699234009
16,-0.8555412485319025,0.7764705419540405
17,-0.8064791700419258,0.741176426410675
18,-0.7168981029706842,0.7794116735458374
19,-0.8123332121792961,0.782352864742279
20,-0.9289558810346267,0.7352940440177917
21,-0.7751064151525497,0.7470587491989136
22,-0.8968409685527577,0.7882352471351624
23,-0.7717360801556531,0.7794116735458374
24,-0.7759192927795298,0.8441175818443298
25,-0.7075875795939389,0.8176469802856445
26,-0.7680250125772813,0.8294116854667664
27,-0.8742493759183323,0.6352940797805786
28,-0.7055076308110181,0.6147058010101318
29,-0.819997011738665,0.7294117212295532
30,-0.7941125333309174,0.741176426410675
31,-0.7956502060679829,0.6999999284744263
32,-0.8455107019228094,0.6911764144897461
33,-0.7940088817301918,0.7499999403953552
34,-0.8716315521913416,0.7676469683647156
