,train_loss,validation_loss,test_corr
0,-0.4017714997132619,-0.8999989628791809,0.6676470041275024
1,-0.6529613446444273,-0.8999989628791809,0.741176426410675
2,-0.7640073607365291,-0.9999988675117493,0.7323528528213501
3,-0.8241232653458913,-0.6499993354082108,0.7705881595611572
4,-0.8739818175633748,-0.8999989628791809,0.7294117212295532
5,-0.7680921435356141,-0.9999988675117493,0.6941176056861877
6,-0.7719809134801229,-0.8999989628791809,0.7029411196708679
7,-0.6448133899519841,-0.9999988675117493,0.5735293626785278
8,-0.8791826705137888,-0.7499992400407791,0.7029411196708679
9,-0.8228544890880585,-0.15000008046627045,0.7235293388366699
10,-0.843713500102361,-0.9999988675117493,0.6588234901428223
11,-0.8524098455905914,-0.15000008046627045,0.632352888584137
12,-0.8226740141709645,-0.8999989628791809,0.6970587372779846
