,train_loss,validation_loss,test_corr
0,0.21492332259813765,-0.15000008046627045,0.43529409170150757
1,-0.37795117994149524,-0.54999940097332,0.511764645576477
2,-0.5438304235537846,-0.44999948143959045,0.7029411196708679
3,-0.7154276669025421,-0.44999948143959045,0.7499999403953552
4,-0.6029587924480438,-0.44999948143959045,0.7264705300331116
5,-0.6978509346644084,-0.44999948143959045,0.7117646336555481
6,-0.7833205858866373,-0.6999991089105606,0.6470587849617004
7,-0.7904069989919662,-0.7499992400407791,0.60294109582901
8,-0.6057188818852107,-0.5999991819262505,0.6235293745994568
9,-0.6896818518638611,-0.15000008046627045,0.582352876663208
10,-0.7699114779631296,-0.29999940097332,0.5941175818443298
11,-0.7255695164203644,-0.6499993354082108,0.6058822870254517
12,-0.7002794126669566,-0.6999991089105606,0.6382352113723755
13,-0.6867100695768992,-0.9999988675117493,0.5941175818443298
14,-0.7418307620286687,-0.6499993354082108,0.5794116854667664
15,-0.8445826431115468,-0.2499999850988388,0.6088234782218933
16,-0.8000114291906357,-0.6999991089105606,0.532352864742279
17,-0.7073874155680339,-0.6499993354082108,0.5470587611198425
18,-0.7089619646469753,-0.6499993354082108,0.511764645576477
19,-0.8160508741935094,-0.44999948143959045,0.6205881834030151
20,-0.7211827576160431,-0.6999991089105606,0.6764705181121826
21,-0.7145795126756033,-0.6499993354082108,0.7029411196708679
22,-0.5402906099955241,-0.3499995544552803,0.5499999523162842
23,-0.7096077978610993,-0.09999954700469971,0.5676469802856445
